aproveitar,#aproveita#,aproveito,#aproveitu#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerco,#ezersu#
agir,#aji#,ajo,#aju#
falar,#fala#,falo,#falu#
levantar,#levanta#,levanto,#levantu#
ficar,#fika#,fico,#fiku#
deixar,#deixa#,deixo,#deixu#
julgar,#julga#,julgo,#julgu#
possuir,#posui#,possuo,#posuu#
voar,#voa#,voo,#vou#
nadar,#nada#,nado,#nadu#
parar,#para#,paro,#paru#
comer,#kome#,como,#komu#
permanecer,#permanese#,permaneco,#permanesu#
participar,#partisipa#,participo,#partisipu#
cativar,#kativa#,cativo,#kativu#
agradecer,#agradese#,agradeco,#agradesu#
pular,#pula#,pulo,#pulu#
acompanhar,#akompania#,acompanho,#akompaniu#
dividir,#dividi#,divido,#dividu#
chegar,#xega#,chego,#xegu#
desejar,#dezeja#,desejo,#dezeju#
deslinguar,#deslingua#,deslinguo,#deslinguu#
casar,#kazar#,caso,#kazu#
zoar,#zoa#,zoo,#zou#
acontecer,#akonteser#,aconteco,#akontesu#
conhecer,#konieser#,conheco,#koniesu#
correr,#kohe#,corro,#kohu#
compreender,#kompreende#,compreendo,#kompreendu#
vender,#vende#,vendo,#vendu#
ensinar,#ensina#,ensino,#ensinu#
realizar,#healiza#,realizo,#healisu#
mudar,#muda#,mudo,#mudu#
permitir,#permiti#,permito,#permitu#
sofrer,#sofre#,sofro,#sofru#
atribuir,#atribui#,atribuo,#atribuu#
convidar,#konvida#,convido,#konvidu#
erigir,#eriji#,erijo,#eriju#
analisar,#analiza#,analizo,#analisu#
ocorrer,#okohe#,ocorro,#okohu#
dissolver,#disouve#,dissolvo,#disouvu#
comprazer,#kompraze#,comprazo,#komprazu#
mexer,#mexe#,mexo,#mexu#
precisar,#presiza#,preciso,#presizu#
corrigir,#kohijir#,corrijo,#kohiju#
respeitar,#hespeita#,respeito,#hespeitu#
lavar,#lava#,lavo,#lavu#
varrer,#vahe#,varro,#vahu#
beijar,#beija#,beijo,#beiju#
educar,#eduka#,educo,#eduku#
descer,#dese#,desco,#desu#
dirigir,#diriji#,dirijo,#diriju#
comprar,#kompra#,compro,#kompru#
achar,#axa#,acho,#axu#
fingir,#finji#,finjo,#finju#
contar,#konta#,conto,#kontu#
pensar,#pensa#,penso,#pensu#
existir,#ezisti#,existo,#ezistu#
sacudir,#sakudi#,sacudo,#sakudu#
trabalhar,#trabalia#,trabalho,#trabaliu#
assistir,#asisti#,assisto,#asistu#
submeter,#subimete#,submeto,#subimetu#
atender,#atende#,atendo,#atendu#
viver,#vive#,vivo,#vivu#
cantar,#kanta#,canto,#kantu#
surgir,#surji#,surjo,#surju#
bater,#bate#,bato,#batu#
procurar,#prokura#,procuro,#prokuru#
frigir,#friji#,frijo,#friju#
caminhar,#kaminia#,caminho,#kaminiu#
marcar,#marka#,marco,#marku#
esquecer,#eskese#,esqueco,#eskesu#
tentar,#tenta#,tento,#tentu#
decidir,#desidi#,decido,#desidu#
desistir,#dezisti#,desisto,#dezistu#
lembrar,#lembra#,lembro,#lembru#
aparecer,#aparese#,apareco,#aparesu#
brincar,#brinka#,brinco,#brinku#
usar,#uza#,uso,#uzu#
envolver,#envouve#,envolvo,#envouvu#
omitir,#omitir#,omito,#omitu#
dever,#deve#,devo,#devu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
postar,#posta#,posto,#pOstu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
