excluir,#esklui#,excluo,#eskluo#
aproveitar,#aproveita#,aproveito,#aproveitu#
vencer,#vense#,venco,#vensu#
proteger,#proteje#,protejo,#proteju#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
entreter,#entrete#,entretenho,#entreteniu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerco,#ezerso#
agir,#aji#,ajo,#aju#
falar,#fala#,falo,#falu#
levantar,#levanta#,levanto,#levantu#
ficar,#fika#,fico,#fiku#
deixar,#deixa#,deixo,#deixu#
escolher,#eskolier#,escolho,#eskoliu#
ressentir,#hesenti#,ressento,#hesentu#
julgar,#julga#,julgo,#julgu#
possuir,#posui#,possuo,#posuu#
voar,#voa#,voo,#vou#
nadar,#nada#,nado,#nadu#
parar,#para#,paro,#paru#
comer,#kome#,como,#komu#
permanecer,#permanese#,permaneco,#permanesu#
participar,#partisipa#,participo,#partisipu#
cativar,#kativa#,cativo,#kativu#
agradecer,#agradese#,agradeco,#agradesu#
pular,#pula#,pulo,#pulu#
persentir,#persenti#,persento,#persentu#
acompanhar,#akompania#,acompanho,#akompaniu#
dividir,#dividi#,divido,#dividu#
chegar,#xega#,chego,#xegu#
desejar,#dezeja#,desejo,#dezeju#
deslinguar,#deslingua#,deslinguo,#deslinguu#
casar,#kazar#,caso,#kazu#
zoar,#zoa#,zoo,#zou#
conhecer,#konieser#,conheí_o,#koniesu#
acontecer,#akonteser#,aconteí_o,#akontesu#
correr,#kohe#,corro,#kohu#
compreender,#kompreende#,compreendo,#kompreendu#
vender,#vende#,vendo,#vendu#
ensinar,#ensina#,ensino,#ensinu#
realizar,#healiza#,realizo,#healisu#
mudar,#muda#,mudo,#mudu#
permitir,#permiti#,permito,#permitu#
sofrer,#sofre#,sofro,#sofru#
atribuir,#atribui#,atribuo,#atribuu#
convidar,#konvida#,convido,#konvidu#
erigir,#eriji#,erijo,#eriju#
analisar,#analiza#,analizo,#analisu#
ocorrer,#okohe#,ocorro,#okohu#
dissolver,#disouve#,dissolvo,#disouvu#
comprazer,#kompraze#,comprazo,#komprazu#
mexer,#mexe#,mexo,#mexu#
precisar,#presiza#,preciso,#presizu#
corrigir,#kohijir#,corrijo,#kohiju#
respeitar,#hespeita#,respeito,#hespeitu#
lavar,#lava#,lavo,#lavu#
varrer,#vahe#,varro,#vahu#
beijar,#beija#,beijo,#beiju#
educar,#eduka#,educo,#eduku#
descer,#dese#,desco,#desu#
dirigir,#diriji#,dirijo,#diriju#
comprar,#kompra#,compro,#kompru#
achar,#axa#,acho,#axu#
fingir,#finji#,finjo,#finju#
contar,#konta#,conto,#kontu#
pensar,#pensa#,penso,#pensu#
existir,#ezisti#,existo,#ezistu#
sacudir,#sakudi#,sacudo,#sakudu#
trabalhar,#trabalia#,trabalho,#trabaliu#
assistir,#asisti#,assisto,#asistu#
submeter,#subimete#,submeto,#subimetu#
atender,#atende#,atendo,#atendu#
viver,#vive#,vivo,#vivu#
cantar,#kanta#,canto,#kantu#
surgir,#surji#,surjo,#surju#
bater,#bate#,bato,#batu#
procurar,#prokura#,procuro,#prokuru#
frigir,#friji#,frijo,#friju#
caminhar,#kaminia#,caminho,#kaminiu#
marcar,#marka#,marco,#marku#
esquecer,#eskese#,esqueco,#eskesu#
tentar,#tenta#,tento,#tentu#
decidir,#desidi#,decido,#desidu#
desistir,#dezisti#,desisto,#dezistu#
lembrar,#lembra#,lembro,#lembru#
aparecer,#aparese#,apareco,#aparesu#
brincar,#brinka#,brinco,#brinku#
usar,#uza#,uso,#uzu#
envolver,#envouve#,envolvo,#envouvu#
ver,#ve#,vejo,#veju#
dever,#deve#,devo,#devu#
romper,#hompe#,rompo,#hompu#
ceder,#sede#,cedo,#sedu#
buscar,#buska#,busco,#busku#
escrever,#eskreve#,escrevo,#eskrevu#
encaminhar,#enkaminiar#,encaminho,#enkaminiu#
cumprir,#kumpri#,cumpro,#kumpru#
esperar,#espera#,espero,#espEru#
amar,#ama#,amo,#amu#
ajudar,#ajuda#,ajudo,#ajudu#
discutir,#diskuti#,discuto,#diskutu#
entrar,#entra#,entro,#entru#
parecer,#parese#,pareco,#paresu#
receber,#resebe#,recebo,#resebu#
partir,#parti#,parto,#partu#
apresentar,#aprezentar#,apresento,#aprezentu#
beber,#bebe#,bebo,#bebu#
adquirir,#adikiri#,adquiro,#adikiru#
oferecer,#oferese#,ofereco,#oferesu#
pegar,#pega#,pego,#pEgu#
encher,#enxe#,encho,#enxu#
passar,#pasa#,passo,#pasu#
iniciar,#inisia#,inicio,#inisiu#
morar,#mora#,moro,#mOru#
dancar,#dansa#,danco,#dansu#
encontrar,#enkontra#,encontro,#enkontru#
sonhar,#soniar#,sonho,#soniu#
compartilhar,#kompartilia#,compartilho,#kompartiliu#
aprender,#aprende#,aprendo,#aprendu#
avisar,#aviza#,aviso,#avizu#
jogar,#joga#,jogo,#jOgu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
entender,#entende#,entendo,#entendu#
mandar,#manda#,mando,#mandu#
preocupar,#preukupa#,preocupo,#preukupu#
garantir,#garanti#,garanto,#garantu#
sentar,#senta#,sento,#sentu#
chamar,#xama#,chamo,#xamu#
murchar,#murxa#,murcho,#murxu#
perseguir,#persegi#,persigo,#persigu#
caber,#kabe#,caibo,#kaibu#
desmentir,#desmenti#,desminto,#desmintu#
impedir,#impedi#,impeco,#impEsu#
informar,#informa#,informo,#infOrmu#
tossir,#tosi#,tusso,#tusu#
tornar,#torna#,torno,#tOrnu#
contrapor,#kontrapo#,contraponho,#kontraponiu#
dizer,#dize#,digo,#digu#
perfazer,#perfaze#,perfaco,#perfasu#
dispor,#dispo#,disponho,#disponiu#
obter,#obite#,obtenho,#obitenhu#
transfazer,#transfaze#,transfaco,#transfasu#
comecar,#komesa#,comeco,#komEsu#
refazer,#hefaze#,refaco,#hefasu#
rir,#hi#,rio,#hiu#
cobrir,#kobri#,cubro,#kubru#
entreouvir,#entreouvi#,ouco,#entreousu#
estar,#esta#,estou,#estou#
expelir,#espeli#,expilo,#espilu#
transpor,#transpo#,transponho,#transponiu#
prever,#preve#,prevejo,#preveju#
odiar,#odia#,odeio,#odeiu#
descrer,#deskre#,descreio,#deskreiu#
mobiliar,#mobiliar#,mobilio,#mobiliu#
readequar,#headekua#,readequo,#headEkuu#
perder,#perde#,perco,#perku#
repor,#hepo#,reponho,#heponiu#
ansiar,#ansia#,anseio,#anseiu#
redizer,#hedize#,redigo,#hedigu#
redispor,#hedispo#,redisponho,#hedisponiu#
afazer,#afaze#,afaco,#afasu#
secar,#seka#,seco,#sEku#
bulir,#buli#,bulo,#bulu#
expor,#espo#,exponho,#esponiu#
insatisfazer,#insatisfaze#,insatisfaco,#insatisfasu#
antever,#anteve#,antevejo,#anteveju#
reler,#hele#,releio,#heleiu#
ouvir,#ouvi#,ouco,#ousu#
ferir,#feri#,firo,#firu#
completar,#kompleta#,completo,#komplEtu#
por,#po#,ponho,#poniu#
fugir,#fuji#,fujo,#fuju#
advetir,#adiverti#,adverto,#adivertu#
desprover,#desprove#,desprovo,#desprovu#
prevenir,#preveni#,previno,#previnu#
consumir,#konsumi#,consumo,#konsumu#
pedir,#pedi#,peco,#pEsu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
despor,#despo#,desponho,#desponiu#
distrair,#distrai#,distraio,#distraiu#
desdizer,#desdize#,desdigo,#desdigu#
acudir,#akudi#,acudo,#akudu#
pressentir,#presenti#,pressinto,#presintu#
subir,#subi#,subo,#subu#
eleger,#eleje#,elejo,#eleju#
depor,#depo#,deponho,#deponiu#
construir,#konstrui#,contruo,#konstruu#
ler,#le#,leio,#leiu#
superpor,#superpo#,superponho,#superponiu#
tender,#tende#,tendo,#tendu#
malfazer,#maufaze#,malfaco,#maufasu#
cegar,#sega#,cego,#sEgu#
defender,#denfende#,defendo,#defendu#
jazer,#jaze#,jazo,#jazu#
sumir,#sumi#,sumo,#sumu#
pospor,#pospo#,posponho,#posponiu#
dar,#da#,dou,#dou#
desimpedir,#dezimpedi#,desimpeco,#dezimpEsu#
morrer,#mohe#,morro,#mohu#
contravir,#kontravi#,contravo,#kontravu#
requerer,#hekere#,requero,#hekEru#
afligir,#afliji#,aflijo,#afliju#
opor,#opo#,oponho,#oponiu#
vestir,#vesti#,visto,#vistu#
liquefazer,#likefaze#,liquefaco,#likefasu#
sobrevir,#sobrevi#,sobrevenho,#sobreveniu#
despedir,#despedi#,despeco,#despEsu#
incluir,#inklui#,incluo,#inkluu#
transfugir,#transfuji#,transfujo,#transfuju#
antepor,#antepo#,anteponho,#anteponiu#
emergir,#emerji#,emerjo,#emerju#
redar,#heda#,redo,#hedu#
despolir,#despoli#,despolo,#despolu#
assentir,#asenti#,assinto,#asintu#
inserir,#inseri#,insiro,#insiru#
condizer,#kondize#,condigo,#kondigu#
desaguar,#dezagua#,desaguo,#dezaguu#
remedir,#hemedi#,remedo,#hemedu#
crer,#kre#,creio,#kreiu#
sobrestar,#sobresta#,sobrestou,#sobrestou#
conter,#konte#,contenho,#konteniu#
obvir,#obivi#,obvenho,#obiveniu#
incorrer,#inkohe#,incorro,#inkohu#
incendiar,#insendia#,incenceio,#insendeiu#
agredir,#agredi#,agrido,#agridu#
influir,#influi#,influo,#influu#
reouvir,#reouvi#,reouco,#reousu#
benfazer,#benfaze#,benfaco,#benfasu#
entredizer,#entredize#,entregido,#entredigu#
preferir,#preferi#,prefiro,#prefiru#
salvar,#sauva#,salvo,#sauvu#
prepor,#prepo#,preponho,#preponiu#
competir,#kompeti#,compito,#kompitu#
sair,#sai#,saio,#saiu#
trespor,#trespo#,tresponho,#tresponiu#
mentir,#menti#,minto,#mintu#
interpor,#interpo#,interponho,#interponiu#
regredir,#regredi#,regrido,#regridu#
intervir,#intervi#,intervenho,#interveniu#
decompor,#dekompo#,decomponho,#dekomponiu#
seguir,#segir#,sigo,#sigu#
divertir,#diverti#,divirto,#divirtu#
reconvir,#hekonvi#,reconvenho,#hekonveniu#
prender,#prende#,prendo,#prendu#
compor,#kompo#,componho,#komponiu#
descobrir,#deskobri#,descubro,#deskubru#
expulsar,#espulsa#,expulso,#espulsu#
entrequerer,#entrekere#,entrequero,#entrekEru#
ater,#ate#,atenho,#ateniu#
servir,#servi#,sirvo,#sirvu#
conferir,#konferi#,confiro,#konfiru#
vir,#vi#,venho,#veniu#
advir,#adivi#,advenho,#adiveniu#
revolver,#hevolve#,revolvo,#hevolvu#
enxugar,#enxuga#,enxugo,#enxugu#
escapulir,#eskapuli#,escapulo,#eskapulu#
parir,#pari#,pairo,#pairu#
sugerir,#sujeri#,sujiro,#sujiru#
satisfazer,#satisfaze#,satisfaco,#satisfasu#
transgredir,#transgredi#,transgrido,#transgridu#
convencer,#konvense#,convenco,#konvensu#
retrair,#hetrai#,retraio,#hetraiu#
querer,#kere#,quero,#kEru#
recobrir,#hekobri#,recubro,#hekubru#
moer,#moe#,moo,#mou#
abrir,#abri#,abro,#abru#
concluir,#konklui#,concluo,#konkluu#
atingir,#atinji#,atinjo,#atinju#
digerir,#dijeri#,digiro,#dijiru#
sortear,#sortea#,sorteio,#sorteiu#
ocultar,#okulta#,oculto,#okultu#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
contradizer,#kontradize#,contradigo,#kontradigu#
impor,#impo#,imponho,#imponiu#
isentar,#izenta#,isento,#izentu#
supor,#supo#,suponho,#suponiu#
aferir,#aferi#,afiro,#afiru#
limpar,#limpa#,limpo,#limpu#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
sentir,#senti#,sinto,#sintu#
justapor,#justapo#,justaponho,#justaponiu#
exprimir,#esprimi#,exprimo,#esprimu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
adequar,#adekua#,adequo,#adEkuu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
sortir,#sorti#,surto,#surtu#
consentir,#konsenti#,consinto,#konsintu#
interver,#interver#,intervejo,#interveju#
contrafazer,#kontrafaze#,contrafaco,#kontrafasu#
fartar,#fartar#,farto,#fartu#
idear,#idea#,ideio,#ideiu#
reobter,#heobite#,reobto,#heobitu#
deter,#dete#,detenho,#deteniu#
trair,#trai#,traio,#traiu#
minguar,#mingua#,minguo,#minguu#
desmobiliar,#desmobilia#,desmobilio,#desmobiliu#
pressupor,#presupo#,pressuponho,#presuponiu#
medir,#medi#,meco,#mEsu#
recompor,#hekompo#,recomponho,#hekomponiu#
remediar,#hemedia#,remedeio,#hemedeiu#
desprazer,#despraze#,despraco,#desprasu#
disperder,#disperde#,disperdo,#disperdu#
condoear,#kondoe#,condoo,#kondou#
sorrir,#sohi#,sorrio,#sohiu#
saber,#sabe#,sei,#sei#
boiar,#boia#,boio,#bOiu#
equivaler,#ekivale#,equivalho,#ekivaliu#
perverter,#perverte#,perverto,#pervertu#
avir,#avi#,avenho,#aveniu#
precluir,#preklui#,precluo,#prekluu#
contrair,#kontrai#,contraio,#kontraiu#
extinguir,#estingi#,extingo,#estingu#
abster,#abiste#,abstenho,#abisteniu#
denegrir,#denegri#,denigro,#denigru#
desavir,#dezavi#,desavenho,#dezaveniu#
interdizer,#interdize#,interdigo,#interdigu#
desprecaver,#desprekave#,desprecavo,#desprekavu#
reter,#hete#,retenho,#heteniu#
desvaler,#desvale#,desvalho,#desvaliu#
telever,#televe#,televo,#televu#
manter,#mante#,matenho,#manteniu#
predizer,#predize#,predigo,#predigu#
fazer,#faze#,faco,#fasu#
entupir,#entupi#,entupo,#entupu#
absorver,#abisorve#,absorvo,#abisorvu#
ter,#te#,tenho,#teniu#
rever,#heve#,revejo,#heveju#
matar,#mata#,mato,#matu#
expedir,#espedi#,expeco,#espEsu#
pagar,#paga#,pago,#pagu#
descalcar,#deskalsa#,descalco,#deskalsu#
gastar,#gasta#,gasto,#gastu#
findar,#finda#,findo,#findu#
entrever,#entreve#,entrevejo,#entreveju#
entregar,#entrega#,entrego,#entrEgu#
omitir,#omitir#,omito,#omitu#
entrepor,#entrepo#,entreponho,#entreponiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
valer,#vale#,valho,#valiu#
cuspir,#kuspi#,cuspo,#kuspu#
adjazer,#adijaze#,adjaco,#adijasu#
torrefazer,#tohefaze#,torrefaco,#torrefasu#
pretender,#pretende#,pretendo,#pretendu#
dormir,#dormi#,durmo,#durmu#
destruir,#destrui#,destruo,#destruu#
esvair,#esvai#,esvaio,#esvaiu#
preterir,#preteri#,pretiro,#pretiru#
suspender,#suspende#,suspendo,#suspendu#
cair,#kai#,caio,#kaiu#
trazer,#traze#,trago,#tragu#
imprimir,#imprimi#,imprimo,#imprimu#
provir,#provi#,provenho,#proveniu#
imergir,#imerji#,imerjo,#imErju#
revir,#hevi#,revenho,#heveniu#
submergir,#subimerji#,submerjo,#subimerju#
rarefazer,#harefaze#,rarefaco,#harefasu#
benzer,#benze#,benzo,#benzu#
mediar,#media#,medeio,#medeiu#
prossupor,#prosupo#,prossuponho,#prosuponiu#
descaber,#deskabe#,descabo,#deskabu#
desquerer,#deskere#,desquero,#deskEru#
ganhar,#gania#,ganho,#ganiu#
aceitar,#aseita#,aceito,#aseitu#
confugir,#konfuji#,confujo,#konfuju#
poder,#pode#,posso,#pOsu#
convergir,#konverji#,convirjo,#konvirju#
prover,#prove#,provenho,#proveju#
predispor,#predispo#,predisponho,#predisponiu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
enxaguar,#enxagua#,enxaguo,#enxaguu#
segurar,#segura#,seguro,#seguru#
juntar,#junta#,junto,#juntu#
desdar,#desda#,desdo,#dEsdu#
tresler,#tresle#,tresleio,#treleiu#
manifestar,#manifesta#,manifesto,#manifEstu#
nascer,#nase#,naco,#nasu#
indispor,#indispo#,indisponho,#indisponiu#
estrear,#estrea#,estreio,#estrEiu#
deferir,#deferi#,defiro,#defiru#
compelir,#kompeli#,compilo,#kompilu#
acender,#asende#,acendo,#asendu#
infectar,#infekita#,infecto,#infEkitu#
corromper,#kohompe#,corrompo,#kohompu#
convir,#konvi#,convenho,#konveniu#
desapor,#dezapo#,desaponho,#dezaponiu#
suster,#suste#,sustenho,#susteniu#
atrair,#atrai#,atraio,#atraiu#
cultivar,#kultiva#,cultivo,#kultivu#
esfazer,#esfaze#,esfaco,#esfasu#
repetir,#hepeti#,repito,#hepitu#
