excluir,#esklui#,excluo,#eskluu#
aproveitar,#aproveita#,aproveito,#aproveitu#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
enviar,#envia#,envio,#enviu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
agir,#aji#,ajo,#aju#
falar,#fala#,falo,#falu#
levantar,#levanta#,levanto,#levantu#
ficar,#fika#,fico,#fiku#
deixar,#deixa#,deixo,#deixu#
julgar,#julga#,julgo,#julgu#
possuir,#posui#,possuo,#posuu#
voar,#voa#,voo,#vou#
nadar,#nada#,nado,#nadu#
parar,#para#,paro,#paru#
permanecer,#permanese#,permaneco,#permanesu#
participar,#partisipa#,participo,#partisipu#
cativar,#kativa#,cativo,#kativu#
pular,#pula#,pulo,#pulu#
acompanhar,#akompania#,acompanho,#akompaniu#
dividir,#dividi#,divido,#dividu#
chegar,#xega#,chego,#xegu#
desejar,#dezeja#,desejo,#dezeju#
deslinguar,#deslingua#,deslinguo,#deslinguu#
casar,#kazar#,caso,#kazu#
zoar,#zoa#,zoo,#zou#
acontecer,#akonteser#,aconteco,#akontesu#
conhecer,#konieser#,conheco,#koniesu#
compreender,#kompreende#,compreendo,#kompreendu#
vender,#vende#,vendo,#vendu#
ensinar,#ensina#,ensino,#ensinu#
realizar,#healiza#,realizo,#healisu#
mudar,#muda#,mudo,#mudu#
permitir,#permiti#,permito,#permitu#
atribuir,#atribui#,atribuo,#atribuu#
convidar,#konvida#,convido,#konvidu#
erigir,#eriji#,erijo,#eriju#
analisar,#analiza#,analizo,#analisu#
ocorrer,#okohe#,ocorro,#okohu#
dissolver,#disouve#,dissolvo,#disouvu#
comprazer,#kompraze#,comprazo,#komprazu#
precisar,#presiza#,preciso,#presizu#
corrigir,#kohijir#,corrijo,#kohiju#
respeitar,#hespeita#,respeito,#hespeitu#
lavar,#lava#,lavo,#lavu#
varrer,#vahe#,varro,#vahu#
beijar,#beija#,beijo,#beiju#
educar,#eduka#,educo,#eduku#
dirigir,#diriji#,dirijo,#diriju#
comprar,#kompra#,compro,#kompru#
achar,#axa#,acho,#axu#
fingir,#finji#,finjo,#finju#
contar,#konta#,conto,#kontu#
pensar,#pensa#,penso,#pensu#
existir,#ezisti#,existo,#ezistu#
sacudir,#sakudi#,sacudo,#sakudu#
trabalhar,#trabalia#,trabalho,#trabaliu#
assistir,#asisti#,assisto,#asistu#
submeter,#subimete#,submeto,#subimetu#
atender,#atende#,atendo,#atendu#
viver,#vive#,vivo,#vivu#
cantar,#kanta#,canto,#kantu#
surgir,#surji#,surjo,#surju#
bater,#bate#,bato,#batu#
procurar,#prokura#,procuro,#prokuru#
frigir,#friji#,frijo,#friju#
caminhar,#kaminia#,caminho,#kaminiu#
marcar,#marka#,marco,#marku#
tentar,#tenta#,tento,#tentu#
decidir,#desidi#,decido,#desidu#
desistir,#dezisti#,desisto,#dezistu#
lembrar,#lembra#,lembro,#lembru#
aparecer,#aparese#,apareco,#aparesu#
brincar,#brinka#,brinco,#brinku#
usar,#uza#,uso,#uzu#
envolver,#envouve#,envolvo,#envouvu#
omitir,#omitir#,omito,#omitu#
dever,#deve#,devo,#devu#
romper,#hompe#,rompo,#hompu#
ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
notar,#nota#,noto,#nOtu#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
socar,#soka#,soco,#sOku#
cocar,#kosa#,coco,#kOsu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
sortir,#sorti#,surto,#surtu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
sortir,#sorti#,surto,#surtu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
sortir,#sorti#,surto,#surtu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
sortir,#sorti#,surto,#surtu#
sortir,#sorti#,surto,#surtu#
dizer,#dize#,digo,#digu#
redizer,#hedize#,redigo,#hedigu#
desdizer,#desdize#,desdigo,#desdigu#
condizer,#kondize#,condigo,#kondigu#
entredizer,#entredize#,entregido,#entredigu#
contradizer,#kontradize#,contradigo,#kontradigu#
interdizer,#interdize#,interdigo,#interdigu#
dizer,#dize#,digo,#digu#
redizer,#hedize#,redigo,#hedigu#
desdizer,#desdize#,desdigo,#desdigu#
condizer,#kondize#,condigo,#kondigu#
entredizer,#entredize#,entregido,#entredigu#
contradizer,#kontradize#,contradigo,#kontradigu#
interdizer,#interdize#,interdigo,#interdigu#
dizer,#dize#,digo,#digu#
redizer,#hedize#,redigo,#hedigu#
desdizer,#desdize#,desdigo,#desdigu#
condizer,#kondize#,condigo,#kondigu#
entredizer,#entredize#,entregido,#entredigu#
contradizer,#kontradize#,contradigo,#kontradigu#
interdizer,#interdize#,interdigo,#interdigu#
perfazer,#perfaze#,perfaco,#perfasu#
transfazer,#transfaze#,transfaco,#transfasu#
insatisfazer,#insatisfaze#,insatisfaco,#insatisfasu#
malfazer,#maufaze#,malfaco,#maufasu#
liquefazer,#likefaze#,liquefaco,#likefasu#
benfazer,#benfaze#,benfaco,#benfasu#
satisfazer,#satisfaze#,satisfaco,#satisfasu#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
contrafazer,#kontrafaze#,contrafaco,#kontrafasu#
torrefazer,#tohefaze#,torrefaco,#torrefasu#
rarefazer,#harefaze#,rarefaco,#harefasu#
esfazer,#esfaze#,esfaco,#esfasu#
desprazer,#despraze#,despraco,#desprasu#
fazer,#faze#,faco,#fasu#
fazer,#faze#,faco,#fasu#
adjazer,#adijaze#,adjaco,#adijasu#
rarefazer,#harefaze#,rarefaco,#harefasu#
esfazer,#esfaze#,esfaco,#esfasu#
desprazer,#despraze#,despraco,#desprasu#
fazer,#faze#,faco,#fasu#
adjazer,#adijaze#,adjaco,#adijasu#
rarefazer,#harefaze#,rarefaco,#harefasu#
descrer,#deskre#,descreio,#deskreiu#
reler,#hele#,releio,#heleiu#
ler,#le#,leio,#leiu#
crer,#kre#,creio,#kreiu#
tresler,#tresle#,tresleio,#treleiu#
descrer,#deskre#,descreio,#deskreiu#
reler,#hele#,releio,#heleiu#
ler,#le#,leio,#leiu#
ler,#le#,leio,#leiu#
crer,#kre#,creio,#kreiu#
tresler,#tresle#,tresleio,#treleiu#
descrer,#deskre#,descreio,#deskreiu#
reler,#hele#,releio,#heleiu#
ler,#le#,leio,#leiu#
crer,#kre#,creio,#kreiu#
tresler,#tresle#,tresleio,#treleiu#
descrer,#deskre#,descreio,#deskreiu#
reler,#hele#,releio,#heleiu#
ler,#le#,leio,#leiu#
crer,#kre#,creio,#kreiu#
tresler,#tresle#,tresleio,#treleiu#
tresler,#tresle#,tresleio,#treleiu#
ressentir,#hesenti#,ressento,#hesintu#
persentir,#persenti#,persento,#persintu#
desmentir,#desmenti#,desminto,#desmintu#
pressentir,#presenti#,pressinto,#presintu#
assentir,#asenti#,assinto,#asintu#
mentir,#menti#,minto,#mintu#
sentir,#senti#,sinto,#sintu#
consentir,#konsenti#,consinto,#konsintu#
ressentir,#hesenti#,ressento,#hesintu#
persentir,#persenti#,persento,#persintu#
desmentir,#desmenti#,desminto,#desmintu#
pressentir,#presenti#,pressinto,#presintu#
assentir,#asenti#,assinto,#asintu#
mentir,#menti#,minto,#mintu#
sentir,#senti#,sinto,#sintu#
consentir,#konsenti#,consinto,#konsintu#
pressentir,#presenti#,pressinto,#presintu#
assentir,#asenti#,assinto,#asintu#
mentir,#menti#,minto,#mintu#
mentir,#menti#,minto,#mintu#
sentir,#senti#,sinto,#sintu#
consentir,#konsenti#,consinto,#konsintu#
impedir,#impedi#,impeco,#impEsu#
pedir,#pedi#,peco,#pEsu#
desimpedir,#dezimpedi#,desimpeco,#dezimpEsu#
despedir,#despedi#,despeco,#despEsu#
medir,#medi#,meco,#mEsu#
expedir,#espedi#,expeco,#espEsu#
desmedir,#desmedi#,desmeco,#desmEsu#
impedir,#impedi#,impeco,#impEsu#
pedir,#pedi#,peco,#pEsu#
desimpedir,#dezimpedi#,desimpeco,#dezimpEsu#
despedir,#despedi#,despeco,#despEsu#
medir,#medi#,meco,#mEsu#
expedir,#espedi#,expeco,#espEsu#
desmedir,#desmedi#,desmeco,#desmEsu#
impedir,#impedi#,impeco,#impEsu#
pedir,#pedi#,peco,#pEsu#
desimpedir,#dezimpedi#,desimpeco,#dezimpEsu#
despedir,#despedi#,despeco,#despEsu#
medir,#medi#,meco,#mEsu#
expedir,#espedi#,expeco,#espEsu#
desmedir,#desmedi#,desmeco,#desmEsu#
contrapor,#kontrapo#,contraponho,#kontraponiu#
dispor,#dispo#,disponho,#disponiu#
transpor,#transpo#,transponho,#transponiu#
redispor,#hedispo#,redisponho,#hedisponiu#
expor,#espo#,exponho,#esponiu#
despor,#despo#,desponho,#desponiu#
depor,#depo#,deponho,#deponiu#
superpor,#superpo#,superponho,#superponiu#
pospor,#pospo#,posponho,#posponiu#
antepor,#antepo#,anteponho,#anteponiu#
trespor,#trespo#,tresponho,#tresponiu#
interpor,#interpo#,interponho,#interponiu#
decompor,#dekompo#,decomponho,#dekomponiu#
impor,#impo#,imponho,#imponiu#
supor,#supo#,suponho,#suponiu#
justapor,#justapo#,justaponho,#justaponiu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
pressupor,#presupo#,pressuponho,#presuponiu#
recompor,#hekompo#,recomponho,#hekomponiu#
entrepor,#entrepo#,entreponho,#entreponiu#
perseguir,#persegi#,persigo,#persigu#
expelir,#espeli#,expilo,#espilu#
vestir,#vesti#,visto,#vistu#
inserir,#inseri#,insiro,#insiru#
agredir,#agredi#,agrido,#agridu#
ferir,#feri#,firo,#firu#
prevenir,#preveni#,previno,#previnu#
preferir,#preferi#,prefiro,#prefiru#
competir,#kompeti#,compito,#kompitu#
servir,#servi#,sirvo,#sirvu#
conferir,#konferi#,confiro,#konfiru#
sugerir,#sujeri#,sujiro,#sujiru#
regredir,#regredi#,regrido,#regridu#
seguir,#segir#,sigo,#sigu#
divertir,#diverti#,divirto,#divirtu#
transgredir,#transgredi#,transgrido,#transgridu#
digerir,#dijeri#,digiro,#dijiru#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
aferir,#aferi#,afiro,#afiru#
preterir,#preteri#,pretiro,#pretiru#
entreter,#entrete#,entretenho,#entreteniu#
obter,#obite#,obtenho,#obiteniu#
sobrevir,#sobrevi#,sobrevenho,#sobreveniu#
conter,#konte#,contenho,#konteniu#
obvir,#obivi#,obvenho,#obiveniu#
ater,#ate#,atenho,#ateniu#
deter,#dete#,detenho,#deteniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
ter,#te#,tenho,#teniu#
suster,#suste#,sustenho,#susteniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
ter,#te#,tenho,#teniu#
suster,#suste#,sustenho,#susteniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
ter,#te#,tenho,#teniu#
entregar,#entrega#,entrego,#entrEgu#
comecar,#komesa#,comeco,#komEsu#
readequar,#headekua#,readequo,#headEkuu#
completar,#kompleta#,completo,#komplEtu#
protestar,#protesta#,protesto,#protEstu#
esperar,#espera#,espero,#espEru#
adequar,#adekua#,adequo,#adEkuu#
manifestar,#manifesta#,manifesto,#manifEstu#
infectar,#infekita#,infecto,#infEkitu#
emprestar,#empresta#,empresto,#emprEstu#
detestar,#detestar#,detesto,#detEstu#
entregar,#entrega#,entrego,#entrEgu#
comecar,#komesa#,comeco,#komEsu#
readequar,#headekua#,readequo,#headEkuu#
completar,#kompleta#,completo,#komplEtu#
protestar,#protesta#,protesto,#protEstu#
esperar,#espera#,espero,#espEru#
adequar,#adekua#,adequo,#adEkuu#
manifestar,#manifesta#,manifesto,#manifEstu#
infectar,#infekita#,infecto,#infEkitu#
emprestar,#empresta#,empresto,#emprEstu#
detestar,#detestar#,detesto,#detEstu#
prever,#preve#,prevejo,#preveju#
antever,#anteve#,antevejo,#anteveju#
interver,#interver#,intervejo,#interveju#
rever,#heve#,revejo,#heveju#
entrever,#entreve#,entrevejo,#entreveju#
ver,#ve#,vejo,#veju#
prever,#preve#,prevejo,#preveju#
antever,#anteve#,antevejo,#anteveju#
interver,#interver#,intervejo,#interveju#
rever,#heve#,revejo,#heveju#
entrever,#entreve#,entrevejo,#entreveju#
ver,#ve#,vejo,#veju#
prever,#preve#,prevejo,#preveju#
antever,#anteve#,antevejo,#anteveju#
interver,#interver#,intervejo,#interveju#
rever,#heve#,revejo,#heveju#
entrever,#entreve#,entrevejo,#entreveju#
ver,#ve#,vejo,#veju#
interver,#interver#,intervejo,#interveju#
rever,#heve#,revejo,#heveju#
entrever,#entreve#,entrevejo,#entreveju#
ver,#ve#,vejo,#veju#
obvir,#obivi#,obvenho,#obiveniu#
reconvir,#hekonvi#,reconvenho,#hekonveniu#
vir,#vi#,venho,#veniu#
advir,#adivi#,advenho,#adiveniu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
avir,#avi#,avenho,#aveniu#
desavir,#dezavi#,desavenho,#dezaveniu#
provir,#provi#,provenho,#proveniu#
revir,#hevi#,revenho,#heveniu#
convir,#konvi#,convenho,#konveniu#
obvir,#obivi#,obvenho,#obiveniu#
reconvir,#hekonvi#,reconvenho,#hekonveniu#
vir,#vi#,venho,#veniu#
advir,#adivi#,advenho,#adiveniu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
avir,#avi#,avenho,#aveniu#
desavir,#dezavi#,desavenho,#dezaveniu#
provir,#provi#,provenho,#proveniu#
revir,#hevi#,revenho,#heveniu#
convir,#konvi#,convenho,#konveniu#
convir,#konvi#,convenho,#konveniu#
