ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
passear,#pasea#,passeio,#paseiu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
boiar,#boia#,boio,#bOiu#
botar,#bota#,boto,#bOtu#
tocar,#toka#,toco,#tOku#
focar,#foka#,foco,#fOku#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
notar,#nota#,noto,#nOtu#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
socar,#soka#,soco,#sOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
orar,#ora#,oro,#Oru#
morar,#mora#,moro,#mOru#
postar,#posta#,posto,#pOstu#
jogar,#joga#,jogo,#jOgu#
acordar,#akorda#,acordo,#akOrdu#
cortar, #korta#', corto, #kOrtu#
almocar, #aumosa#,almoco,#aumOsu#
gostar,#gosta#,gosto,#gOstu#
voltar',#volta#,volto,#vOltu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
sortir,#sorti#,surto,#surtu#
tossir,#tosi#,tusso,#tusu#
cobrir,#kobri#,cubro,#kubru#
dizer,#dize#,digo,#digu#
redizer,#hedize#,redigo,#hedigu#
desdizer,#desdize#,desdigo,#desdigu#
condizer,#kondize#,condigo,#kondigu#
entredizer,#entredize#,entregido,#entredigu#
contradizer,#kontradize#,contradigo,#kontradigu#
interdizer,#interdize#,interdigo,#interdigu#
perfazer,#perfaze#,perfaco,#perfasu#
transfazer,#transfaze#,transfaco,#transfasu#
insatisfazer,#insatisfaze#,insatisfaco,#insatisfasu#
malfazer,#maufaze#,malfaco,#maufasu#
liquefazer,#likefaze#,liquefaco,#likefasu#
benfazer,#benfaze#,benfaco,#benfasu#
satisfazer,#satisfaze#,satisfaco,#satisfasu#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
contrafazer,#kontrafaze#,contrafaco,#kontrafasu#
torrefazer,#tohefaze#,torrefaco,#tohefasu#
rarefazer,#harefaze#,rarefaco,#harefasu#
esfazer,#esfaze#,esfaco,#esfasu#
desprazer,#despraze#,despraco,#desprasu#
fazer,#faze#,faco,#fasu#
adjazer,#adijaze#,adjaco,#adijasu#
descrer,#deskre#,descreio,#deskreiu#
reler,#hele#,releio,#heleiu#
ler,#le#,leio,#leiu#
crer,#kre#,creio,#kreiu#
tresler,#tresle#,tresleio,#treleiu#
ressentir,#hesenti#,ressento,#hesintu#
persentir,#persenti#,persento,#persintu#
desmentir,#desmenti#,desminto,#desmintu#
pressentir,#presenti#,pressinto,#presintu#
assentir,#asenti#,assinto,#asintu#
mentir,#menti#,minto,#mintu#
sentir,#senti#,sinto,#sintu#
consentir,#konsenti#,consinto,#konsintu#
impedir,#impedi#,impeco,#impEsu#
pedir,#pedi#,peco,#pEsu#
desimpedir,#dezimpedi#,desimpeco,#dezimpEsu#
despedir,#despedi#,despeco,#despEsu#
medir,#medi#,meco,#mEsu#
expedir,#espedi#,expeco,#espEsu#
desmedir,#desmedi#,desmeco,#desmEsu#
contrapor,#kontrapo#,contraponho,#kontraponiu#
dispor,#dispo#,disponho,#disponiu#
transpor,#transpo#,transponho,#transponiu#
redispor,#hedispo#,redisponho,#hedisponiu#
expor,#espo#,exponho,#esponiu#
despor,#despo#,desponho,#desponiu#
depor,#depo#,deponho,#deponiu#
superpor,#superpo#,superponho,#superponiu#
pospor,#pospo#,posponho,#posponiu#
antepor,#antepo#,anteponho,#anteponiu#
trespor,#trespo#,tresponho,#tresponiu#
interpor,#interpo#,interponho,#interponiu#
decompor,#dekompo#,decomponho,#dekomponiu#
impor,#impo#,imponho,#imponiu#
supor,#supo#,suponho,#suponiu#
justapor,#justapo#,justaponho,#justaponiu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
pressupor,#presupo#,pressuponho,#presuponiu#
recompor,#hekompo#,recomponho,#hekomponiu#
entrepor,#entrepo#,entreponho,#entreponiu#
prossupor,#prosupo#,prossuponho,#prosuponiu#
predispor,#predispo#,predisponho,#predisponiu#
indispor,#indispo#,indisponho,#indisponiu#
desapor,#dezapo#,desaponho,#dezaponiu#
compor,#kompo#,componho,#komponiu#
por,#po#,ponho,#poniu#
perseguir,#persegi#,persigo,#persigu#
expelir,#espeli#,expilo,#espilu#
vestir,#vesti#,visto,#vistu#
inserir,#inseri#,insiro,#insiru#
agredir,#agredi#,agrido,#agridu#
ferir,#feri#,firo,#firu#
prevenir,#preveni#,previno,#previnu#
preferir,#preferi#,prefiro,#prefiru#
competir,#kompeti#,compito,#kompitu#
servir,#servi#,sirvo,#sirvu#
conferir,#konferi#,confiro,#konfiru#
sugerir,#sujeri#,sujiro,#sujiru#
regredir,#regredi#,regrido,#regridu#
seguir,#segir#,sigo,#sigu#
divertir,#diverti#,divirto,#divirtu#
transgredir,#transgredi#,transgrido,#transgridu#
digerir,#dijeri#,digiro,#dijiru#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
aferir,#aferi#,afiro,#afiru#
preterir,#preteri#,pretiro,#pretiru#
convergir,#konverji#,convirjo,#konvirju#
deferir,#deferi#,defiro,#defiru#
compelir,#kompeli#,compilo,#kompilu#
conseguir,#konsegi#,consigo,#konsigu#
repetir,#hepeti#,repito,#hepitu#
ingerir,#injeri#,ingiro,#injiru#
entreter,#entrete#,entretenho,#entreteniu#
obter,#obite#,obtenho,#obiteniu#
conter,#konte#,contenho,#konteniu#
obvir,#obivi#,obvenho,#obiveniu#
ater,#ate#,atenho,#ateniu#
deter,#dete#,detenho,#deteniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
ter,#te#,tenho,#teniu#
suster,#suste#,sustenho,#susteniu#
entregar,#entrega#,entrego,#entrEgu#
comecar,#komesa#,comeco,#komEsu#
readequar,#headekua#,readequo,#headEkuu#
completar,#kompleta#,completo,#komplEtu#
protestar,#protesta#,protesto,#protEstu#
esperar,#espera#,espero,#espEru#
adequar,#adekua#,adequo,#adEkuu#
manifestar,#manifesta#,manifesto,#manifEstu#
infectar,#infekita#,infecto,#infEkitu#
emprestar,#empresta#,empresto,#emprEstu#
detestar,#detesta#,detesto,#detEstu#
testar,#testa#,testo,#tEstu#
pegar,#pega#,pego,#pEgu#
cegar,#sega#,cego,#sEgu#
secar,#seka#,seco,#sEku#
levar,#leva#,levo,#lEvu#
observar,#obiserva#,observo,#obisErvu#
conversar,#konversa#,converso,#konvErsu#
fechar,#fexa#,fecho,#fExu#
expressar,#espresa#,expresso,#esprEsu#
prever,#preve#,prevejo,#preveju#
antever,#anteve#,antevejo,#anteveju#
interver,#interver#,intervejo,#interveju#
rever,#heve#,revejo,#heveju#
entrever,#entreve#,entrevejo,#entreveju#
ver,#ve#,vejo,#veju#
reconvir,#hekonvi#,reconvenho,#hekonveniu#
vir,#vi#,venho,#veniu#
advir,#adivi#,advenho,#adiveniu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
avir,#avi#,avenho,#aveniu#
desavir,#dezavi#,desavenho,#dezaveniu#
provir,#provi#,provenho,#proveniu#
revir,#hevi#,revenho,#heveniu#
convir,#konvi#,convenho,#konveniu#
sobrevir,#sobrevi#,sobrevenho,#sobreveniu#
requerer,#hekere#,requero,#hekEru#
entrequerer,#entrekere#,entrequero,#entrekEru#
querer,#kere#,quero,#kEru#
saber,#sabe#,sei,#sei#
equivaler,#ekivale#,equivalho,#ekivaliu#
prover,#prove#,provenho,#proveniu#
trazer,#traze#,trago,#tragu#
poder,#pode#,posso,#pOsu#
desdar,#desda#,desdo,#dEsdu#
idear,#idea#,ideio,#ideiu#
estrear,#estrea#,estreio,#estrEiu#
dar,#da#,dou,#dou#
sobrestar,#sobresta#,sobrestou,#sobrestou#
estar,#esta#,estou,#estou#
caber,#kabe#,caibo,#kaibu#
ouvir,#ouvi#,ouco,#ousu#
entreouvir,#entreouvi#,ouco,#entreousu#
reouvir,#reouvi#,reouco,#reousu#
parir,#pari#,pairo,#pairu#
perder,#perde#,perco,#perku#
